================================================================================
P: A football player tackles an member of the opposing team .
H: People playing football .
label=1, predicted=1, correct
f=bigram_podium_., v=1, w=0.056540169727031894, v*w=0.056540169727031894
f=bigram_giving_a, v=1, w=0.05553107110966756, v*w=0.05553107110966756
f=unigram_speech, v=1, w=0.0037642875591842595, v*w=0.0037642875591842595
f=bigram_speaking_at, v=1, w=0, v*w=0
f=bigram_gentleman_speaking, v=1, w=0, v*w=0
f=negation_s1, v=0, w=0.22485757777299273, v*w=0.0
f=negation_s2, v=0, w=-0.10855617187754155, v*w=-0.0
f=unigram_a, v=1, w=-0.0024239052585922536, v*w=-0.0024239052585922536
f=unigram_podium, v=1, w=-0.0027651653468230768, v*w=-0.0027651653468230768
f=unigram_at, v=1, w=-0.0217453823726876, v*w=-0.0217453823726876
f=bigram_a_podium, v=1, w=-0.03731650802935315, v*w=-0.03731650802935315
f=bigram_older_gentleman, v=1, w=-0.07713605293337077, v*w=-0.07713605293337077
f=unigram_giving, v=1, w=-0.09471830739047708, v*w=-0.09471830739047708
f=bigram_an_older, v=1, w=-0.11031829734549432, v*w=-0.11031829734549432
f=unigram_an, v=1, w=-0.1150717082369504, v*w=-0.1150717082369504
f=bigram_at_a, v=1, w=-0.15317639340581699, v*w=-0.15317639340581699
f=unigram_older, v=1, w=-0.1778870179855128, v*w=-0.1778870179855128
================================================================================
P: A topless man with tattoos , black pants , and black boots is standing on a platform in front of a mirror .
H: a man is standing
label=1, predicted=1, correct
f=bigram_is_standing, v=2, w=0.28193247818870476, v*w=0.5638649563774095
f=unigram_black, v=2, w=0.18273958814369576, v*w=0.3654791762873915
f=unigram_boots, v=1, w=0.27154695496457043, v*w=0.27154695496457043
f=bigram_pants_,, v=1, w=0.23668141824245176, v*w=0.23668141824245176
f=unigram_platform, v=1, w=0.2276979197325877, v*w=0.2276979197325877
f=unigram_man, v=2, w=0.09125296665009319, v*w=0.18250593330018638
f=bigram_front_of, v=1, w=0.1703695835980046, v*w=0.1703695835980046
f=bigram_a_man, v=1, w=0.16304572728321168, v*w=0.16304572728321168
f=unigram_standing, v=2, w=0.08080967127446863, v*w=0.16161934254893726
f=bigram_man_with, v=1, w=0.1609348185693526, v*w=0.1609348185693526
f=unigram_., v=1, w=0.15389083143632556, v*w=0.15389083143632556
f=bigram_in_front, v=1, w=0.14264428437832066, v*w=0.14264428437832066
f=unigram_pants, v=1, w=0.12845530450704454, v*w=0.12845530450704454
f=bigram_,_and, v=1, w=0.11876708611131494, v*w=0.11876708611131494
f=bigram_and_black, v=1, w=0.11792239007503577, v*w=0.11792239007503577
f=bigram_black_boots, v=1, w=0.10121400866602147, v*w=0.10121400866602147
f=bigram_mirror_., v=1, w=0.05633833154555564, v*w=0.05633833154555564
f=unigram_mirror, v=1, w=0.05416656756015127, v*w=0.05416656756015127
f=bigram_,_black, v=1, w=0.05313097324164408, v*w=0.05313097324164408
f=bigram_man_is, v=1, w=0.05138160861639206, v*w=0.05138160861639206
f=bigram_boots_is, v=1, w=0.03478546135756046, v*w=0.03478546135756046
f=bigram_of_a, v=1, w=0.0193813254754124, v*w=0.0193813254754124
f=bigram_a_mirror, v=1, w=0.013532478391221328, v*w=0.013532478391221328
f=bigram_with_tattoos, v=1, w=0.004928502828940364, v*w=0.004928502828940364
f=bigram_tattoos_,, v=1, w=0, v*w=0
f=negation_s1, v=0, w=0.22485757777299273, v*w=0.0
f=negation_s2, v=0, w=-0.10855617187754155, v*w=-0.0
f=bigram_on_a, v=1, w=-3.6941557408380274e-06, v*w=-3.6941557408380274e-06
f=unigram_on, v=1, w=-0.0029334140976355447, v*w=-0.0029334140976355447
f=unigram_a, v=3, w=-0.0024239052585922536, v*w=-0.00727171577577676
f=bigram_platform_in, v=1, w=-0.01068768174585168, v*w=-0.01068768174585168
f=unigram_with, v=1, w=-0.017849579505314447, v*w=-0.017849579505314447
f=bigram_a_topless, v=1, w=-0.036062543780327944, v*w=-0.036062543780327944
f=bigram_topless_man, v=1, w=-0.036062543780327944, v*w=-0.036062543780327944
f=unigram_,, v=2, w=-0.0210107357906898, v*w=-0.0420214715813796
f=unigram_of, v=1, w=-0.05210813364358563, v*w=-0.05210813364358563
f=unigram_and, v=1, w=-0.0751160091009072, v*w=-0.0751160091009072
f=unigram_topless, v=1, w=-0.07596834103627954, v*w=-0.07596834103627954
f=bigram_a_platform, v=1, w=-0.07627825984706356, v*w=-0.07627825984706356
f=unigram_in, v=1, w=-0.08602513351516965, v*w=-0.08602513351516965
f=bigram_black_pants, v=1, w=-0.12468116892378586, v*w=-0.12468116892378586
f=bigram_standing_on, v=1, w=-0.1541518532541622, v*w=-0.1541518532541622
f=unigram_front, v=1, w=-0.15463392971701118, v*w=-0.15463392971701118
f=unigram_tattoos, v=1, w=-0.20060012731703344, v*w=-0.20060012731703344
f=unigram_is, v=2, w=-0.1087656479607868, v*w=-0.2175312959215736
================================================================================
P: The woman in the blue skirt is sleeping on a cardboard box under a picture of Mary and baby Jesus .
H: A person sleeping on a cardboard box below a picture of religious icons .
label=1, predicted=0, wrong
f=unigram_picture, v=2, w=0.4860526589723839, v*w=0.9721053179447678
f=unigram_box, v=2, w=0.25496571571540066, v*w=0.5099314314308013
f=unigram_person, v=1, w=0.32290623554978604, v*w=0.32290623554978604
f=unigram_., v=2, w=0.15389083143632556, v*w=0.30778166287265113
f=bigram_a_person, v=1, w=0.26806657095918407, v*w=0.26806657095918407
f=unigram_woman, v=1, w=0.1413660042219838, v*w=0.1413660042219838
f=unigram_baby, v=1, w=0.08797972365468376, v*w=0.08797972365468376
f=bigram_a_cardboard, v=2, w=0.03429751507829402, v*w=0.06859503015658804
f=bigram_cardboard_box, v=2, w=0.023838006848809084, v*w=0.04767601369761817
f=unigram_blue, v=1, w=0.04244902163888029, v*w=0.04244902163888029
f=bigram_under_a, v=1, w=0.04088567309125487, v*w=0.04088567309125487
f=unigram_jesus, v=1, w=0.03489381763328066, v*w=0.03489381763328066
f=bigram_and_baby, v=1, w=0.031133547424955527, v*w=0.031133547424955527
f=unigram_cardboard, v=2, w=0.014554291985862397, v*w=0.029108583971724795
f=bigram_skirt_is, v=1, w=0.0008406625783990143, v*w=0.0008406625783990143
f=unigram_mary, v=1, w=0, v*w=0
f=unigram_icons, v=1, w=0, v*w=0
f=bigram_icons_., v=1, w=0, v*w=0
f=bigram_baby_jesus, v=1, w=0, v*w=0
f=bigram_of_mary, v=1, w=0, v*w=0
f=bigram_of_religious, v=1, w=0, v*w=0
f=bigram_religious_icons, v=1, w=0, v*w=0
f=bigram_jesus_., v=1, w=0, v*w=0
f=bigram_box_under, v=1, w=0, v*w=0
f=bigram_person_sleeping, v=1, w=0, v*w=0
f=bigram_box_below, v=1, w=0, v*w=0
f=bigram_mary_and, v=1, w=0, v*w=0
f=negation_s1, v=0, w=0.22485757777299273, v*w=0.0
f=negation_s2, v=0, w=-0.10855617187754155, v*w=-0.0
f=bigram_on_a, v=2, w=-3.6941557408380274e-06, v*w=-7.388311481676055e-06
f=unigram_on, v=2, w=-0.0029334140976355447, v*w=-0.005866828195271089
f=unigram_under, v=1, w=-0.00862327490522616, v*w=-0.00862327490522616
f=unigram_a, v=4, w=-0.0024239052585922536, v*w=-0.009695621034369014
f=bigram_the_blue, v=1, w=-0.050460278776916945, v*w=-0.050460278776916945
f=bigram_below_a, v=1, w=-0.05960558887452542, v*w=-0.05960558887452542
f=bigram_blue_skirt, v=1, w=-0.060657388152545934, v*w=-0.060657388152545934
f=unigram_and, v=1, w=-0.0751160091009072, v*w=-0.0751160091009072
f=bigram_in_the, v=1, w=-0.07759903285762955, v*w=-0.07759903285762955
f=unigram_skirt, v=1, w=-0.08013369708630047, v*w=-0.08013369708630047
f=bigram_is_sleeping, v=1, w=-0.08044166550796145, v*w=-0.08044166550796145
f=unigram_religious, v=1, w=-0.08061833326112086, v*w=-0.08061833326112086
f=unigram_in, v=1, w=-0.08602513351516965, v*w=-0.08602513351516965
f=bigram_woman_in, v=1, w=-0.09202603561617556, v*w=-0.09202603561617556
f=unigram_of, v=2, w=-0.05210813364358563, v*w=-0.10421626728717126
f=unigram_is, v=1, w=-0.1087656479607868, v*w=-0.1087656479607868
f=unigram_below, v=1, w=-0.16995077504997474, v*w=-0.16995077504997474
f=unigram_sleeping, v=2, w=-0.08713345965832953, v*w=-0.17426691931665905
f=bigram_the_woman, v=1, w=-0.2193825308884169, v*w=-0.2193825308884169
f=unigram_the, v=1, w=-0.22461032956469507, v*w=-0.22461032956469507
f=bigram_a_picture, v=2, w=-0.14059691030184837, v*w=-0.28119382060369674
f=bigram_picture_of, v=2, w=-0.20109099131380925, v*w=-0.4021819826276185
f=bigram_sleeping_on, v=2, w=-0.3064401480654004, v*w=-0.6128802961308008
================================================================================
P: A man in a red shirt plays his guitar while looking down .
H: A man practicing a song he wrote
label=0, predicted=0, correct
f=bigram_down_., v=1, w=0.5000706907465621, v*w=0.5000706907465621
f=bigram_a_man, v=2, w=0.16304572728321168, v*w=0.32609145456642336
f=unigram_man, v=2, w=0.09125296665009319, v*w=0.18250593330018638
f=unigram_., v=1, w=0.15389083143632556, v*w=0.15389083143632556
f=unigram_down, v=1, w=0.15181193892975275, v*w=0.15181193892975275
f=bigram_while_looking, v=1, w=0.12421080203772314, v*w=0.12421080203772314
f=bigram_man_practicing, v=1, w=0.1195007979902889, v*w=0.1195007979902889
f=bigram_a_red, v=1, w=0.08614488226295595, v*w=0.08614488226295595
f=unigram_looking, v=1, w=0.07423665082612417, v*w=0.07423665082612417
f=bigram_looking_down, v=1, w=0.061274302175263785, v*w=0.061274302175263785
f=bigram_man_in, v=1, w=0.06080882426598919, v*w=0.06080882426598919
f=bigram_in_a, v=1, w=0.05844301263471668, v*w=0.05844301263471668
f=unigram_while, v=1, w=0.006772260201241698, v*w=0.006772260201241698
f=bigram_plays_his, v=1, w=0.0012777566190437552, v*w=0.0012777566190437552
f=bigram_he_wrote, v=1, w=0, v*w=0
f=bigram_song_he, v=1, w=0, v*w=0
f=negation_s1, v=0, w=0.22485757777299273, v*w=0.0
f=negation_s2, v=0, w=-0.10855617187754155, v*w=-0.0
f=unigram_a, v=2, w=-0.0024239052585922536, v*w=-0.004847810517184507
f=bigram_his_guitar, v=1, w=-0.008533629380828314, v*w=-0.008533629380828314
f=unigram_shirt, v=1, w=-0.010733142774790528, v*w=-0.010733142774790528
f=bigram_a_song, v=1, w=-0.016435475866539442, v*w=-0.016435475866539442
f=unigram_wrote, v=1, w=-0.016946629487471894, v*w=-0.016946629487471894
f=bigram_red_shirt, v=1, w=-0.017868481312462933, v*w=-0.017868481312462933
f=unigram_red, v=1, w=-0.0409333055494941, v*w=-0.0409333055494941
f=bigram_guitar_while, v=1, w=-0.05280579202816782, v*w=-0.05280579202816782
f=unigram_guitar, v=1, w=-0.06605851794679202, v*w=-0.06605851794679202
f=unigram_in, v=1, w=-0.08602513351516965, v*w=-0.08602513351516965
f=bigram_practicing_a, v=1, w=-0.09764436847580672, v*w=-0.09764436847580672
f=bigram_shirt_plays, v=1, w=-0.1112295597019995, v*w=-0.1112295597019995
f=unigram_plays, v=1, w=-0.14397192609547269, v*w=-0.14397192609547269
f=unigram_song, v=1, w=-0.2892293041513686, v*w=-0.2892293041513686
f=unigram_his, v=1, w=-0.37413418362669487, v*w=-0.37413418362669487
f=unigram_he, v=1, w=-0.41672833617918115, v*w=-0.41672833617918115
f=unigram_practicing, v=1, w=-0.4667355833036388, v*w=-0.4667355833036388
================================================================================
P: A busy street full of shops and people holding hands and walking .
H: Couples looking for places to shop .
label=0, predicted=0, correct
f=bigram_walking_., v=1, w=0.4890240332791327, v*w=0.4890240332791327
f=unigram_., v=2, w=0.15389083143632556, v*w=0.30778166287265113
f=unigram_people, v=1, w=0.28882961393253187, v*w=0.28882961393253187
f=unigram_busy, v=1, w=0.14911551130731626, v*w=0.14911551130731626
f=bigram_and_walking, v=1, w=0.13070501096155995, v*w=0.13070501096155995
f=bigram_a_busy, v=1, w=0.0799340844464241, v*w=0.0799340844464241
f=unigram_looking, v=1, w=0.07423665082612417, v*w=0.07423665082612417
f=unigram_holding, v=1, w=0.06563157717938507, v*w=0.06563157717938507
f=bigram_people_holding, v=1, w=0.04701846498022416, v*w=0.04701846498022416
f=unigram_street, v=1, w=0.03498371651720185, v*w=0.03498371651720185
f=unigram_hands, v=1, w=0.02326904788182886, v*w=0.02326904788182886
f=unigram_shops, v=1, w=0.01260713889631865, v*w=0.01260713889631865
f=bigram_shops_and, v=1, w=0, v*w=0
f=bigram_couples_looking, v=1, w=0, v*w=0
f=bigram_places_to, v=1, w=0, v*w=0
f=bigram_to_shop, v=1, w=0, v*w=0
f=bigram_for_places, v=1, w=0, v*w=0
f=bigram_of_shops, v=1, w=0, v*w=0
f=negation_s1, v=0, w=0.22485757777299273, v*w=0.0
f=negation_s2, v=0, w=-0.10855617187754155, v*w=-0.0
f=unigram_a, v=1, w=-0.0024239052585922536, v*w=-0.0024239052585922536
f=bigram_busy_street, v=1, w=-0.03503079705457284, v*w=-0.03503079705457284
f=bigram_and_people, v=1, w=-0.035171987342819414, v*w=-0.035171987342819414
f=bigram_street_full, v=1, w=-0.04477567900077822, v*w=-0.04477567900077822
f=unigram_walking, v=1, w=-0.048020427955048656, v*w=-0.048020427955048656
f=unigram_of, v=1, w=-0.05210813364358563, v*w=-0.05210813364358563
f=unigram_places, v=1, w=-0.08655785159188506, v*w=-0.08655785159188506
f=bigram_hands_and, v=1, w=-0.10555769714910974, v*w=-0.10555769714910974
f=unigram_full, v=1, w=-0.10936463169786208, v*w=-0.10936463169786208
f=unigram_couples, v=1, w=-0.15001051202483892, v*w=-0.15001051202483892
f=unigram_and, v=2, w=-0.0751160091009072, v*w=-0.1502320182018144
f=bigram_full_of, v=1, w=-0.1671978860560637, v*w=-0.1671978860560637
f=unigram_shop, v=1, w=-0.1963035844069025, v*w=-0.1963035844069025
f=bigram_shop_., v=1, w=-0.2185098834399907, v*w=-0.2185098834399907
f=bigram_holding_hands, v=1, w=-0.31354952417254106, v*w=-0.31354952417254106
f=bigram_looking_for, v=1, w=-0.48844215317612855, v*w=-0.48844215317612855
f=unigram_to, v=1, w=-0.48944732742029523, v*w=-0.48944732742029523
f=unigram_for, v=1, w=-0.7511752560076752, v*w=-0.7511752560076752
================================================================================
P: A cabin shot of a very crowded airplane
H: The airplane is quite crowded .
label=1, predicted=0, wrong
f=unigram_airplane, v=2, w=0.24651800083844744, v*w=0.4930360016768949
f=unigram_., v=1, w=0.15389083143632556, v*w=0.15389083143632556
f=unigram_crowded, v=2, w=0.063743473382849, v*w=0.127486946765698
f=bigram_the_airplane, v=1, w=0.06234094740767725, v*w=0.06234094740767725
f=bigram_airplane_is, v=1, w=0.036396823762824694, v*w=0.036396823762824694
f=unigram_shot, v=1, w=0.03029241905126148, v*w=0.03029241905126148
f=bigram_of_a, v=1, w=0.0193813254754124, v*w=0.0193813254754124
f=bigram_quite_crowded, v=1, w=0, v*w=0
f=bigram_very_crowded, v=1, w=0, v*w=0
f=bigram_cabin_shot, v=1, w=0, v*w=0
f=bigram_crowded_airplane, v=1, w=0, v*w=0
f=negation_s1, v=0, w=0.22485757777299273, v*w=0.0
f=negation_s2, v=0, w=-0.10855617187754155, v*w=-0.0
f=bigram_crowded_., v=1, w=-0.00029364579450992523, v*w=-0.00029364579450992523
f=unigram_a, v=1, w=-0.0024239052585922536, v*w=-0.0024239052585922536
f=bigram_a_very, v=1, w=-0.020217761141948856, v*w=-0.020217761141948856
f=bigram_a_cabin, v=1, w=-0.026626104475858732, v*w=-0.026626104475858732
f=bigram_shot_of, v=1, w=-0.03937004321303595, v*w=-0.03937004321303595
f=unigram_quite, v=1, w=-0.04787357229463172, v*w=-0.04787357229463172
f=bigram_is_quite, v=1, w=-0.04787357229463172, v*w=-0.04787357229463172
f=unigram_of, v=1, w=-0.05210813364358563, v*w=-0.05210813364358563
f=unigram_cabin, v=1, w=-0.07387210608532453, v*w=-0.07387210608532453
f=unigram_is, v=1, w=-0.1087656479607868, v*w=-0.1087656479607868
f=unigram_the, v=1, w=-0.22461032956469507, v*w=-0.22461032956469507
f=unigram_very, v=1, w=-0.29008169173206816, v*w=-0.29008169173206816
================================================================================
P: A building that portrays beautiful architecture stands in the sunlight as somebody on a bike passes by .
H: A bicyclist passes an esthetically beautiful building on a sunny day
label=1, predicted=0, wrong
f=unigram_beautiful, v=2, w=0.2367373388464377, v*w=0.4734746776928754
f=unigram_., v=1, w=0.15389083143632556, v*w=0.15389083143632556
f=unigram_stands, v=1, w=0.10202816141737939, v*w=0.10202816141737939
f=bigram_passes_by, v=1, w=0.09027149520130187, v*w=0.09027149520130187
f=unigram_by, v=1, w=0.09026834019447456, v*w=0.09026834019447456
f=bigram_sunny_day, v=1, w=0.059220744325864175, v*w=0.059220744325864175
f=bigram_the_sunlight, v=1, w=0.04564259625938634, v*w=0.04564259625938634
f=unigram_bike, v=1, w=0.04308693206044616, v*w=0.04308693206044616
f=unigram_somebody, v=1, w=0.03853772904242864, v*w=0.03853772904242864
f=bigram_a_bike, v=1, w=0.01626910860536307, v*w=0.01626910860536307
f=unigram_as, v=1, w=0.0029848788575000825, v*w=0.0029848788575000825
f=unigram_portrays, v=1, w=0, v*w=0
f=unigram_esthetically, v=1, w=0, v*w=0
f=bigram_bicyclist_passes, v=1, w=0, v*w=0
f=bigram_esthetically_beautiful, v=1, w=0, v*w=0
f=bigram_somebody_on, v=1, w=0, v*w=0
f=bigram_that_portrays, v=1, w=0, v*w=0
f=bigram_portrays_beautiful, v=1, w=0, v*w=0
f=bigram_architecture_stands, v=1, w=0, v*w=0
f=bigram_as_somebody, v=1, w=0, v*w=0
f=bigram_beautiful_architecture, v=1, w=0, v*w=0
f=bigram_passes_an, v=1, w=0, v*w=0
f=bigram_an_esthetically, v=1, w=0, v*w=0
f=bigram_sunlight_as, v=1, w=0, v*w=0
f=bigram_beautiful_building, v=1, w=0, v*w=0
f=bigram_bike_passes, v=1, w=0, v*w=0
f=bigram_building_that, v=1, w=0, v*w=0
f=negation_s1, v=0, w=0.22485757777299273, v*w=0.0
f=negation_s2, v=0, w=-0.10855617187754155, v*w=-0.0
f=bigram_on_a, v=2, w=-3.6941557408380274e-06, v*w=-7.388311481676055e-06
f=unigram_a, v=2, w=-0.0024239052585922536, v*w=-0.004847810517184507
f=unigram_on, v=2, w=-0.0029334140976355447, v*w=-0.005866828195271089
f=bigram_a_building, v=1, w=-0.016483179809751156, v*w=-0.016483179809751156
f=unigram_architecture, v=1, w=-0.02689340525860417, v*w=-0.02689340525860417
f=bigram_building_on, v=1, w=-0.037442339265212045, v*w=-0.037442339265212045
f=unigram_sunlight, v=1, w=-0.043525271919504754, v*w=-0.043525271919504754
f=bigram_a_bicyclist, v=1, w=-0.060036193085638734, v*w=-0.060036193085638734
f=unigram_bicyclist, v=1, w=-0.06945478187537413, v*w=-0.06945478187537413
f=bigram_in_the, v=1, w=-0.07759903285762955, v*w=-0.07759903285762955
f=unigram_in, v=1, w=-0.08602513351516965, v*w=-0.08602513351516965
f=unigram_an, v=1, w=-0.1150717082369504, v*w=-0.1150717082369504
f=bigram_by_., v=1, w=-0.12480275371553676, v*w=-0.12480275371553676
f=bigram_a_sunny, v=1, w=-0.1563334945647688, v*w=-0.1563334945647688
f=unigram_sunny, v=1, w=-0.20649847159244877, v*w=-0.20649847159244877
f=unigram_the, v=1, w=-0.22461032956469507, v*w=-0.22461032956469507
f=bigram_stands_in, v=1, w=-0.23455862663582422, v*w=-0.23455862663582422
f=unigram_day, v=1, w=-0.24436168265665165, v*w=-0.24436168265665165
f=unigram_passes, v=2, w=-0.1381993257628024, v*w=-0.2763986515256048
f=unigram_that, v=1, w=-0.28760531671502415, v*w=-0.28760531671502415
f=unigram_building, v=2, w=-0.2542368833908052, v*w=-0.5084737667816104
================================================================================
P: A woman with red-hair and wearing a black tank top and short jeans shorts appears to be yelling .
H: A woman with red-hair and wearing a black tank top screams at her son who is crossing the road without looking both ways .
label=0, predicted=0, correct
f=unigram_black, v=2, w=0.18273958814369576, v*w=0.3654791762873915
f=unigram_., v=2, w=0.15389083143632556, v*w=0.30778166287265113
f=unigram_top, v=2, w=0.14506635547167857, v*w=0.29013271094335713
f=unigram_woman, v=2, w=0.1413660042219838, v*w=0.2827320084439676
f=bigram_wearing_a, v=2, w=0.13123149389916114, v*w=0.2624629877983223
f=bigram_the_road, v=1, w=0.25955484752675767, v*w=0.25955484752675767
f=bigram_at_her, v=1, w=0.2332242895992232, v*w=0.2332242895992232
f=bigram_a_woman, v=2, w=0.07886436240659192, v*w=0.15772872481318384
f=unigram_short, v=1, w=0.12961405873183343, v*w=0.12961405873183343
f=bigram_crossing_the, v=1, w=0.12844069120206947, v*w=0.12844069120206947
f=bigram_black_tank, v=2, w=0.06079948122477292, v*w=0.12159896244954584
f=unigram_be, v=1, w=0.11782260517932953, v*w=0.11782260517932953
f=unigram_red-hair, v=2, w=0.0527141497477788, v*w=0.1054282994955576
f=bigram_appears_to, v=1, w=0.09398437800808157, v*w=0.09398437800808157
f=bigram_red-hair_and, v=2, w=0.04639524069283436, v*w=0.09279048138566871
f=unigram_appears, v=1, w=0.0878044415452525, v*w=0.0878044415452525
f=bigram_top_and, v=1, w=0.07897708850056333, v*w=0.07897708850056333
f=unigram_looking, v=1, w=0.07423665082612417, v*w=0.07423665082612417
f=unigram_yelling, v=1, w=0.07121114637842826, v*w=0.07121114637842826
f=bigram_to_be, v=1, w=0.06485896388789443, v*w=0.06485896388789443
f=bigram_with_red-hair, v=2, w=0.02705852080828482, v*w=0.05411704161656964
f=unigram_crossing, v=1, w=0.04458538239882329, v*w=0.04458538239882329
f=unigram_jeans, v=1, w=0.038605224050685914, v*w=0.038605224050685914
f=bigram_who_is, v=1, w=0.037987982843736834, v*w=0.037987982843736834
f=bigram_is_crossing, v=1, w=0.016589249330479377, v*w=0.016589249330479377
f=bigram_yelling_., v=1, w=0.015526169280157584, v*w=0.015526169280157584
f=bigram_and_short, v=1, w=0.00835190989791631, v*w=0.00835190989791631
f=unigram_ways, v=1, w=0, v*w=0
f=bigram_jeans_shorts, v=1, w=0, v*w=0
f=bigram_short_jeans, v=1, w=0, v*w=0
f=bigram_shorts_appears, v=1, w=0, v*w=0
f=bigram_be_yelling, v=1, w=0, v*w=0
f=bigram_both_ways, v=1, w=0, v*w=0
f=bigram_road_without, v=1, w=0, v*w=0
f=bigram_ways_., v=1, w=0, v*w=0
f=bigram_top_screams, v=1, w=0, v*w=0
f=bigram_without_looking, v=1, w=0, v*w=0
f=bigram_son_who, v=1, w=0, v*w=0
f=bigram_screams_at, v=1, w=0, v*w=0
f=bigram_looking_both, v=1, w=0, v*w=0
f=negation_s1, v=0, w=0.22485757777299273, v*w=0.0
f=negation_s2, v=0, w=-0.10855617187754155, v*w=-0.0
f=unigram_a, v=2, w=-0.0024239052585922536, v*w=-0.004847810517184507
f=unigram_at, v=1, w=-0.0217453823726876, v*w=-0.0217453823726876
f=unigram_who, v=1, w=-0.02970155020950331, v*w=-0.02970155020950331
f=unigram_with, v=2, w=-0.017849579505314447, v*w=-0.035699159010628895
f=unigram_screams, v=1, w=-0.05914313925698297, v*w=-0.05914313925698297
f=unigram_road, v=1, w=-0.09053612693936575, v*w=-0.09053612693936575
f=unigram_wearing, v=2, w=-0.05100125722308318, v*w=-0.10200251444616636
f=unigram_is, v=1, w=-0.1087656479607868, v*w=-0.1087656479607868
f=unigram_both, v=1, w=-0.11669905474271518, v*w=-0.11669905474271518
f=bigram_her_son, v=1, w=-0.13920501421174694, v*w=-0.13920501421174694
f=bigram_tank_top, v=2, w=-0.0857579428981298, v*w=-0.1715158857962596
f=unigram_without, v=1, w=-0.17757731660075007, v*w=-0.17757731660075007
f=bigram_and_wearing, v=2, w=-0.09456427961990685, v*w=-0.1891285592398137
f=unigram_tank, v=2, w=-0.10722355502642554, v*w=-0.21444711005285108
f=unigram_her, v=1, w=-0.21546840459580557, v*w=-0.21546840459580557
f=unigram_the, v=1, w=-0.22461032956469507, v*w=-0.22461032956469507
f=unigram_and, v=3, w=-0.0751160091009072, v*w=-0.22534802730272158
f=bigram_woman_with, v=2, w=-0.11522281873203656, v*w=-0.23044563746407312
f=bigram_a_black, v=2, w=-0.12256011522625536, v*w=-0.24512023045251072
f=unigram_shorts, v=1, w=-0.25440233125592454, v*w=-0.25440233125592454
f=unigram_son, v=1, w=-0.3174979442130865, v*w=-0.3174979442130865
f=unigram_to, v=1, w=-0.48944732742029523, v*w=-0.48944732742029523
================================================================================
P: Two men sitting on a subway are reading , with coats and scarves on , but have seemed to have lost their pants .
H: There are people on the subway .
label=1, predicted=1, correct
f=unigram_there, v=1, w=0.9302926795128035, v*w=0.9302926795128035
f=bigram_there_are, v=1, w=0.3852711223329239, v*w=0.3852711223329239
f=unigram_., v=2, w=0.15389083143632556, v*w=0.30778166287265113
f=bigram_a_subway, v=1, w=0.2932591603412917, v*w=0.2932591603412917
f=unigram_people, v=1, w=0.28882961393253187, v*w=0.28882961393253187
